Index,Date,Open,High,Low,Close,Adj Close,Volume,CloseUSD
SSMI,11/28/95,3251.800049,3251.800049,3228.300049,3229.5,3229.5,0,3584.7450000000003
SSMI,11/29/95,3230,3250.199951,3230,3245.899902,3245.899902,0,3602.9488912200004
SSMI,11/30/95,3247,3262.899902,3233.199951,3251.600098,3251.600098,0,3609.2761087800004
SSMI,12/1/95,3251.899902,3270.100098,3251.899902,3261.199951,3261.199951,0,3619.931946
SSMI,12/4/95,3261.199951,3280.600098,3246.699951,3278.399902,3278.399902,0,3639.023891
SSMI,12/5/95,3278.100098,3300,3273.600098,3278.5,3278.5,0,3639.135
SSMI,12/6/95,3278.5,3295.699951,3269,3281.5,3281.5,0,3642.465
SSMI,12/7/95,3278.800049,3285.300049,3231.300049,3245.699951,3245.699951,0,3602.7269456100003
SSMI,12/8/95,3246.100098,3255.300049,3228.600098,3246.600098,3246.600098,0,3603.7261087800002
TWII,3/23/05,6005.359863,6023.759766,5970.200195,6019.490234,6019.467773,2733200,240.7796094
TWII,3/24/05,6029.740234,6054.649902,6001,6001,6000.977539,2908000,240.04
TWII,3/25/05,6018.790039,6065.910156,6016.47998,6065.910156,6065.887695,2536400,242.6364062
TWII,3/28/05,6091.830078,6093.189941,6048.740234,6048.740234,6048.717773,2326800,241.9496094
TWII,3/29/05,6035.77002,6035.77002,5961.240234,5961.240234,5961.218262,2672800,238.4496094
TWII,3/30/05,5940.180176,5980.5,5940.180176,5957.97998,5957.958008,2554800,238.3191992
TWII,3/31/05,6005.870117,6017.040039,5995.27002,6005.879883,6005.857422,2884200,240.2351953
TWII,4/1/05,6010.709961,6028.990234,5959.279785,6028.75,6028.727539,2898200,241.15
TWII,4/4/05,6013.700195,6048.370117,6006.299805,6019.930176,6019.907715,2940200,240.797207
TWII,4/6/05,6025.290039,6046.160156,6006.810059,6013.490234,6013.467773,2671200,240.5396094
J203.JO,11/20/18,52423.53125,52423.53125,51000.78906,51067.78125,51067.78125,0,3574.7446875000005
J203.JO,11/21/18,51067.78125,51607.89844,50992.55859,51318.64844,51318.64844,0,3592.305391
J203.JO,11/22/18,51318.64844,51637.51953,51187.35156,51187.35156,51187.35156,0,3583.1146092000004
J203.JO,11/23/18,51187.35156,51187.35156,50344.62109,50697.69922,50697.69922,0,3548.8389454000003
J203.JO,11/26/18,50697.69922,51843.62891,50697.69922,51690.12109,51690.12109,0,3618.308476
J203.JO,11/27/18,51690.12109,52053.85156,51230.92969,51353.98047,51353.98047,0,3594.7786329000005
J203.JO,11/28/18,51353.98047,52349.76172,51353.98047,51895.12109,51895.12109,0,3632.6584763000005
J203.JO,11/29/18,51895.12109,52276.98828,51459.73047,51737.55859,51737.55859,0,3621.6291013000005
J203.JO,11/30/18,51737.55859,51883.92969,50663.94141,50663.94141,50663.94141,0,3546.4758987000005
J203.JO,3/29/21,66833.99219,67430.11719,66576.32813,67089.36719,67089.36719,0,4696.255703300001
J203.JO,3/30/21,67089.36719,67340.0625,66773.32813,67291.65625,67291.65625,0,4710.415937500001
J203.JO,3/31/21,67291.65625,67323.92188,66384.1875,66485.28906,66485.28906,0,4653.970234
